Model,Brand,Year,Price,Mileage,Transmission
Perodua Myvi,Perodua,2017,"36,600","105,867 km",Automatic
Honda City,Honda,2012,"24,900","207,818 km",Automatic
Perodua Bezza,Perodua,2018,"33,800","108,941 km",Automatic
Mercedes-Benz C200,Mercedes-Benz,2017,"130,000","104,937 km",Automatic
Proton Saga,Proton,2017,"22,800","102,127 km",Automatic
Perodua Myvi,Perodua,2018,"43,500","81,629 km",Automatic
Proton Preve,Proton,2017,"26,000","107,906 km",Automatic
Perodua Myvi,Perodua,2019,"45,800","62,059 km",Automatic
Perodua Myvi,Perodua,2016,"34,300","139,944 km",Automatic
Perodua Bezza,Perodua,2020,"39,700","73,073 km",Automatic
Perodua Myvi,Perodua,2020,"46,800","81,328 km",Automatic
Toyota Yaris,Toyota,2019,"60,100","39,520 km",Automatic
Mazda 3,Mazda,2019,"112,000","97,712 km",Automatic
Subaru XV,Subaru,2019,"69,400","101,095 km",Automatic
